Transaction ID,Date,Time,Branch,Cashier ID,Invoice Number,Customer ID,Payment Method,Product Code,Product Name,Product Category,Brand,Quantity,Price Per Unit,Discount Applied,Tax Amount,Total Sales Amount,Stock Availability,Supplier ID
TRANS_00001,2024-01-27,19:20:00,Jaffna,CASHIER_002,INV_90676,CUST_7653,Cash,PROD_0005,Tea,Bakery,Brand_4,5,342.66,0.0,137.06,1850.36,56,SUP_004
TRANS_00002,2024-02-13,11:38:00,Negombo,CASHIER_004,INV_32241,CUST_5649,Mobile Payment,PROD_0002,Sugar,Grains,Brand_2,2,158.94,0.0,25.43,343.31,60,SUP_005
TRANS_00003,2024-02-24,09:14:00,Jaffna,CASHIER_004,INV_92544,CUST_7291,Online Payment,PROD_0007,Sugar,Bakery,Brand_1,1,411.37,0.0,32.91,444.28,89,SUP_005
TRANS_00004,2024-01-30,08:51:00,Negombo,CASHIER_002,INV_25906,CUST_8612,Mobile Payment,PROD_0008,Chicken,Meat,Brand_4,5,278.37,0.0,111.35,1503.2,60,SUP_004
TRANS_00005,2024-01-17,12:13:00,Galle,CASHIER_005,INV_73517,CUST_5499,Online Payment,PROD_0002,Tea,Bakery,Brand_3,3,227.88,0.0,54.69,738.33,17,SUP_002
TRANS_00006,2024-01-15,14:32:00,Kandy,CASHIER_002,INV_18418,CUST_6421,Online Payment,PROD_0007,Milk,Bakery,Brand_4,4,461.94,0.0,147.82,1995.58,89,SUP_001
TRANS_00007,2024-02-24,17:49:00,Jaffna,CASHIER_004,INV_10772,CUST_5892,Online Payment,PROD_0007,Eggs,Meat,Brand_5,2,295.29,0.0,47.25,637.83,62,SUP_001
TRANS_00008,2024-01-25,13:44:00,Jaffna,CASHIER_002,INV_71261,CUST_9751,Cash,PROD_0007,Chicken,Meat,Brand_1,1,357.1,0.0,28.57,385.67,59,SUP_002
TRANS_00009,2024-01-04,12:26:00,Jaffna,CASHIER_003,INV_37742,CUST_6529,Online Payment,PROD_0005,Butter,Grains,Brand_1,4,107.75,0.0,34.48,465.48,44,SUP_002
TRANS_00010,2024-02-11,09:10:00,Colombo,CASHIER_001,INV_42411,Guest,Cash,PROD_0010,Rice,Bakery,Brand_2,4,367.78,0.0,117.69,1588.81,27,SUP_004
TRANS_00011,2024-02-14,12:22:00,Galle,CASHIER_002,INV_89415,CUST_2876,Credit Card,PROD_0005,Bread,Meat,Brand_1,3,330.32,18.77,79.28,1051.47,91,SUP_002
TRANS_00012,2024-01-05,18:06:00,Kandy,CASHIER_001,INV_49529,CUST_2983,Cash,PROD_0006,Eggs,Beverages,Brand_3,1,302.38,0.0,24.19,326.57,53,SUP_004
TRANS_00013,2024-01-07,15:23:00,Galle,CASHIER_004,INV_30052,CUST_9548,Mobile Payment,PROD_0010,Eggs,Beverages,Brand_4,4,430.29,0.0,137.69,1858.85,41,SUP_002
